,period,홍대,연남,이태원,종로,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
1277,2019-07-01,13971.542015774306,7582.982506358049,7342.211520832907,10457.916700688576,5451.388972024363,5287.52934892436,2195.972467752869,2617.9139568909204,6776.2355828740065,1745.3525358300722,1959.8364496098354,1085.7745821806138,2917.2673074782697,5989.048073969924,5234.060255278669,14558.42495211753
1278,2019-07-02,14818.523867536243,7490.04039151891,7688.057125663489,10213.86465518574,5906.8004635833895,5614.64789092072,2281.98787921713,2841.711816039406,7561.945964728767,1722.6306721476012,2247.9865912582127,1168.9755985746388,3204.3134874984753,6510.916864989065,5783.103000302514,16042.673343580413
1279,2019-07-03,14511.660188338317,7580.917126028291,8889.195292110575,10933.559843126093,6023.5194084710165,5667.275947272785,2325.512601543151,2809.4429379719304,7540.120946388683,1761.8759447455243,2650.565816764196,1215.7761702962775,3076.3898334261908,7065.917538975923,5870.282283622533,16391.544147748755
1280,2019-07-04,16532.186229745454,8411.19201324116,8976.698169835738,11375.968566307962,6333.031912716236,6267.85021566397,2390.801367298757,3124.842080934963,8316.474276950645,1870.3140803887643,2442.5142273535307,1308.337456121523,3362.397490943094,7046.24365493138,5977.186948840357,17148.817981427717
1281,2019-07-05,19495.058005483275,9304.463668961704,10584.115854509973,12350.104493747609,7058.355122266148,6484.550904156425,2816.7310767584436,3261.2026298408223,9349.54134773418,2306.1364019236057,2682.813755057979,1307.297598503491,3727.4462502494607,8104.474466579232,7155.186128080237,20052.561440611265
1282,2019-07-06,21805.855801370642,12189.77597358421,12724.901467929036,13974.352512800635,7363.7007987606175,8102.592891722488,3582.575084213555,3700.470400993954,10859.643045439212,2872.08492151508,3960.244759165711,1300.0174320255671,3887.6090985663745,10194.01559102561,8943.46382920213,20444.254354445864
1283,2019-07-07,16287.525260571167,9581.221964699325,8920.449012762949,10898.249251993324,5283.606177708016,6522.732515841161,3214.680207040313,2913.5346088103142,7821.770620704829,2566.390974460596,3684.577274169625,1173.135804481233,3416.4780553394967,7722.393325244697,7075.268515781069,14603.334200745656
1284,2019-07-08,13740.358678386649,7742.014123299428,7657.859019218916,10846.321451232734,5617.088352465337,5087.338595874386,2892.3826046128524,3011.3810861367792,7840.475001678691,2549.86538912142,2657.847151422959,1074.3342097960958,3296.875180353463,6034.607226177399,5813.201077056685,15781.546901687523
1285,2019-07-09,14165.40675073315,7720.327629836963,7997.465190071249,10323.944855032856,5954.738579790503,5629.094335588048,2781.4965641114645,3229.9751285893076,8238.52639407724,2847.2998081419023,2529.895404580444,1183.5359315304859,3413.358888098209,6643.4533988659,6490.941346574871,17004.675353248054
1286,2019-07-10,14428.730800603555,7035.6593874220425,7666.190831359054,9908.538118169843,5823.429613689786,4987.242214728768,2783.569116531225,3212.27939117759,7911.151118975979,2548.833764276066,2498.688762949716,1211.6163521069159,3184.552762084687,6937.52192784468,6004.170078652035,16098.03779298949
1287,2019-07-11,14872.43439468275,7445.634714429099,8676.677531775917,10279.291490453046,5955.780899136737,5401.041433970361,2873.7285113239577,3227.892374957386,8151.226320716905,2818.381666116137,2435.232892694767,1272.9768690671697,3328.0758520947893,6900.244621128388,6374.695763636545,16555.53085104251
1288,2019-07-12,16416.072992575304,9469.691426892357,16390.78570806762,11861.996485436512,6565.427483145256,6302.9335773240855,3470.6527675022867,3327.8216059157726,9345.380497912553,3464.8861570178883,3015.6944916524308,1413.3789719493188,3697.2841010114366,8025.778930401057,6722.388965994717,18863.906542869514
1289,2019-07-13,20829.290639615356,12233.148960509143,15681.35640966467,14866.440478039725,7028.133985310827,8328.582302565022,4318.365960071089,3620.319661079207,11282.640093544067,4446.000560576164,4104.83918799099,1330.1775678380616,3951.0507644180207,10615.444500449237,8278.179424346938,18902.554374612035
1290,2019-07-14,16077.076159858056,10158.490429966796,11975.886636733574,12288.830002234547,5525.380172618955,6925.179521957524,4199.1885883796085,2931.2303462220316,9333.952743320675,4047.3580855248147,3240.388763045859,1164.8153926680443,3478.8793988221496,8625.308026911976,6889.489784720882,16503.30686306204
1291,2019-07-15,13327.760218800986,7244.262800727667,9203.806026542494,10040.429874643014,5428.461620858495,5014.073622529534,2992.9058830154377,2987.4401552131435,7560.90575227336,2907.19934188414,2258.3892352452676,1158.5754715253854,3354.076711856843,6026.325380686217,5655.441176051019,14990.852836656515
1292,2019-07-16,13890.68378401797,7988.827072705589,9341.299777108487,10749.74028589233,6180.881458959211,5824.125357079511,3352.5116720206875,3269.529043292739,8367.400940012798,3208.7624367097606,2479.963487640842,1233.4564638234544,3438.3194254912705,7123.903960423158,6145.323467809369,17886.241238002054
1293,2019-07-17,16330.029311909475,8159.218281460639,8788.139081967403,10809.976691466834,6428.908145130462,5575.4335292277765,3246.805891057651,3304.920518116174,8795.594189588823,3406.0182481210036,2596.472584163684,1241.77648791941,3571.441091677137,7290.612108957092,6147.398791402037,17673.158004175362
1294,2019-07-18,16745.742064426206,8878.997989481457,9677.795656098551,11181.76423238317,6343.453881361483,5568.210306894112,3314.1672092330177,3295.552727848297,8448.464599446557,3415.313753847808,2405.06496706622,1317.6977255527438,3436.2387807532855,7201.559764911953,6202.4085974821965,16985.87159661963
1295,2019-07-19,17559.547625716183,9156.788975383959,10339.307609568852,11582.633848800908,7149.020982766297,5973.753553793835,3551.485676406097,3477.713918661429,9580.264358988175,3414.2799525787295,2692.175102381979,1389.4583695622507,3860.5679164353282,7892.207165837824,7030.639250771235,19558.507689777594
1296,2019-07-20,20064.202597598967,10550.910024170904,12839.492160236503,12613.88800669395,6453.918910171706,6808.5732053694255,3959.797568786769,3533.923727652541,10172.665352342534,3920.328938427966,3093.713031224907,1349.9379643185355,3814.8081311251754,10079.077978817539,8138.065658539429,18759.452064918038
1297,2019-07-21,15785.761268425185,9156.788975383959,10319.514843172596,11154.762246064312,5357.597378302606,6100.679333498958,3733.8792614334225,2883.3484843747597,8068.08223637233,3833.5788651981193,2893.9840731360605,1190.815710291177,3309.355449049993,7859.070781867123,6617.56354747654,14411.148364499795
1298,2019-07-22,14725.223581982495,8111.71453387619,8595.414088029003,11347.928494050546,6533.121707497467,5161.636319227444,3160.7916011044395,3017.627813340621,8575.263581277166,3496.9013500034384,2327.046427493744,1242.8167332546752,3444.5595598395357,6462.247519719412,5906.610254261691,15571.597627298903
1299,2019-07-23,15491.339643024672,8411.19201324116,8908.988058506831,11328.197026607042,7036.471315263606,5558.9235937852945,3359.7656054898493,3351.7625368394083,9093.872680773882,3485.5404181622034,2594.3912811680107,1295.8572261189727,3367.5973029223665,7125.974421795954,6576.04530630222,17196.861189493913
1300,2019-07-24,14885.912026469377,8110.681843711312,8226.646574686183,10762.201234460485,6373.675018316804,5129.647189109427,3261.3148795070247,3227.892374957386,8420.408027985764,3355.4142201055697,2637.041863448849,1308.337456121523,3429.99864640502,7271.973455598946,6232.506674236367,16722.651513774337
1301,2019-07-25,15430.172510990245,8013.608968212655,8148.512273055248,10282.405748268728,6341.369242669015,4889.211333599564,3274.786470235468,3359.0491071672877,8600.204376177606,3078.6362386531273,2412.347592055421,1321.8575437421055,3379.0372492499046,7139.432420719127,6427.630246124036,17179.104253341688
1302,2019-07-26,17805.24417287968,8137.531787998174,9015.246938674161,10134.934868106293,5962.033590397048,4703.467025216918,3262.351155716905,3074.87746545577,8366.36072755739,3068.3091080809695,2411.3075857228027,1260.4966390646193,3442.4789151015502,7559.826099456354,6576.04530630222,17998.003953315336
1303,2019-07-27,22125.153975402558,12788.730932314147,13028.032397851128,14019.009794685873,7118.799845810976,7455.583048545956,4284.167723633989,3642.1793720628443,11584.034361289483,4528.621958000873,3415.151117499685,1303.1373925968965,4101.854311145381,9933.083446017532,8855.244922532285,20561.23816815909
1304,2019-07-28,16201.474020941914,9421.15498914303,9906.977040713487,11618.982525872238,5866.157357982823,5591.945473911519,3734.9155376433023,2855.243579879204,8149.150756611956,3903.805529512514,2664.0884797491053,1167.9357409566064,3361.357168574101,8670.867179119452,6623.789518254547,15531.909477070718
1305,2019-07-29,17504.60152058046,10082.071357765726,9861.133223689016,14170.633018602548,7307.425352600725,5988.199998461164,3711.080063305007,3285.1435607644585,9590.656761930513,4595.7493949317595,2872.1387788293323,1342.657797840612,3482.000365929128,7684.080787842005,6607.183006406215,17238.642980674504
