사용일자,강남,반포,삼청,서촌,성수,신사,신촌,연남,을지로,이태원,장충,종로,청담,한남,혜화,홍대
20160206,6016062427,17471625743469591146510729,1437916505,,99281046128992549,205692134226323283871049911531,13641134103991637883400401,2711247467035668650307009711541833,150461521429323405103663402573637451699567382921129043,158601861058066739,24952167916681691109411596568147562239240421092089,926095554092609020184192442653025908,105471132383668628,22393079312568456867,3157532524,67035668650307009711541833
20160207,2757726750,402135616994633313581243,87089480,,5472555717101451,13575134079661925031993255,225701967384307955251269,172016703849436387732104844263514,1543814911548353422596231020482094863283968551019,349136721228512426,706974076511564615231271125311971350129933302553,1364112336775271222050306547904832,5040489142763923,39583940194316571743,2012119923,3849436387732104844263514
20160208,1580717363,6326675384527428682949,962810677,,4357461813131293,520860214802511216751852,620968291263513925242244,164916042539929666410104830563265,10292108445726471104121912446115582831242018711525,97771118125092681,494751714832475015841434127513181093117813911337,403443481648301410412991650224939,2461268435573747,17731713503334923584,1179213168,2539929666410104830563265
20160209,3814441805,3857404070397527935920,1534018203,,1907197055206285,45195302112711333685719761,10002114813673382370926295,182921508411841498555974847835545,139751558793812951729204331112888435837352772925730,463857821388915843,164215846114606868077443132512671488156926712151,8307833226804966949692892030619169,5054582635154064,19562121449048147949,2434127215,8411841498555974847835545
20160210,6034561707,5963637696001010214051439,1776420768,,8184929828322834,7867895618537202251723718565,45943134944367461307014924,2316249065806618126223236731172822,1818217714869165745152505171546669319153003329773356,593764791499015053,175418111769192241633729205420568802942877247806,10428102741385713973278412563837465939,8578965670057684,63177090278829617239,2851331683,65806618126223236731172822
20160211,117441117883,1558716256180371806934733522,2687528987,,289743121559795815,407614552234181378071608418291,933115451750539232134723099,4070392614422346774277888012685596,106951223310356623756015642157532226822145571125704263226974,684670271395915252,1516214644150431592539603878397742946883768044554252,965012432315393171341916399891521515088,24243281372592928867,1064311358492650193524,4086643407,14422346774277888012685596
20160212,124486129613,1605216532188761916532943354,2673028244,,300253298060345650,423844687135729406781699919784,557605939921734232018511182,4159385880428923151428225178928227,601166066623585235551557315254111321282820361813806660786899,684477121502119350,1546716137155991512045404334389539184252445083388707,4080739462324543327710143134191531515531,24562290422575029258,1074911110467048276128,4229945101,80428923151428225178928227
20160213,9239196583,23372257147201456994379483,2084522732,,411840091365214897,148231598735618371412894731130,63060853875550821928620185,3239330485068466146025418484996612,11099109951153810863408943882940034794573963662226322898,185682205074718678,8083651028372923268026643170284913243141711137010850,28364268383608536147135051311463699661,15126162411488316138,23403451358487099075,4424447421,85068466146025418484996612
20160214,5632355120,19472007107431022760326208,1588717136,,2649265580228459,7912857117418178341984620573,42839314498153124250139936,2430250067036405112819657476973441,1341157714397143373033336738913639888784323130029924,163241542262056414,4833497718851873193218122104203485508274923010065,126331203921326194368476759635765307,89679304922610138,28342361240760656914,3729438471,67036405112819657476973441
20160215,122270121767,1706717592189181838433513367,2760329058,,624760633103733924,157921759840868454493585638696,861117755653567642228223124,4274398872687454121320157564377489,114491298520570505737923748235941539415197604266363763539121,597164091320914220,4199417143274663842489631613415561158111627145964489,1016412839400953820231014310231517714743,25256296332711430130,4880477350331053911204,4156642786,72687454121320157564377489
20160216,122738122910,3443341119256188621687417458,2926630804,,631161033166334440,167041836742108460123597538778,843122557577587312233123347,4350407813012043782148109576827676,618168053843139688594825997824731243671541715116113931329010,140191504566796899,4726454993259680426745534209420016343173981626915768,4052638530310953106915744152111017312993,28011309312601530438,1113511636622649865063,4626447808,13012043782148109576827676
20160217,126432126351,3457349319956195431711417618,3041032431,,643163343162134561,425874670337246400041708118805,898119457798588592265824092,4618440414512097820781318328887206,119861351710419824325663347066613446132025157249591611615879,148171592770977380,1643715792482446579407979245834851421142401692918035,1036213317164421617044519419273255532877,28080312132628430634,1140611976518852413543,4671248151,14512097820781318328887206
20160218,125506125876,1720517602197331928937503951,2999631888,,647162603118734205,171751929142281466743736240339,889124057746586802284024772,4617442313772131812780808181885930,640370476158261302248482455616117160111148913203104162742918,731175271502016379,4749452842454291449446928774945216940176861665315943,1579315842441594142932903325631041513310,26405310072804131167,1151212034539654924039,4680048233,13772131812780808181885930
20160219,129809134760,2040520104173141769035623566,2993631955,,665462653140834467,180832116443674491293794743744,908119258726619202477224372,4578436615082512857989968661499770,633146300224990250051652216356117631375620391194130262727131,177212245179228786,1722218051170951628789629481464148534166427047184555,4517443328327243312510531140631633516743,27064306542609430871,1180712146530453945033,4773249856,15082512857989968661499770
20160220,96034100776,16139155749818972430972900,2560328900,,155721674351314797,377973995835443373931471216483,58367598872129821911708685,36503708977271089439081897015762915,5929669630251452576143774417341206011498113061163544005211,2202226396919610381,1244911738154501656283786642311832853074309733963173,666010503402053922929975292331376514098,17237180861731619030,94819936391340474334,4941552720,977271089439081897015762915
20160221,5775556416,11128106666118626218871908,1722818658,,3141308087709347,8354884418567186022019521116,44840514070147114058739225,2685264713442034735157164372196415,146641443714621824423041438901861730917291161031813397,172731579070667196,46715021210520971922183421402102103001119788158586,857378171282712335230352066835415489,9552100041022610867,28872978592263177127,3748238594,13442034735157164372196415
20160222,118969119298,3341339018857183371695717497,2761129509,,315653429763576230,347333770841059456361578817713,544725610722055230258451260,4573431280307555797288276312972084,5744858046242182403615365152816251677711344128754023841921,624466041383014792,1631617016469444964213419643664693854491251626115648,4164839412312363126815335151901022712820,27327302382542929641,3727501750891115611618,4166343738,80307555797288276312972084
20160223,122050121504,1715017815195631923435403535,2940231404,,636761863204834767,171811877536362389264283746785,925122822986238805658455953,4558439313592202800379118141083951,624968643932640260101162513220159601558924895243476072760587,706073501476815445,4655443744894430438846419178955716758162121656617627,1600015681106781346833341330354207939850,26365304472796931048,5037525053001120511894,4693748557,13592202800379118141083951
20160224,122834121961,3407351819251189221688017539,2951630909,,649962703149434429,169641872541731460353652439209,221822312456085565358831223,4509421079818048792188219413292109,6036669315687154402500124551602405953611921133194068341743,146591561969987469,9885996644994821429743634670456216642178621668315936,1593515711317873178742044392491030413159,27899306882600730412,4633512051401104811740,4820649309,79818048792188219413292109
20160225,123081123768,1681317380194721917338063853,3004931776,,315373453764376303,423054650936280397631697618878,566475815922460232839241284,4553432180398273816428614214292235,626768856074660858247912489415835155911173613328104029841547,724875591548016612,48044491448644944416474198301007916608177241714416491,1652516166434264059732874329521053513302,26052304262807031456,1135811953532953984051,5117553411,80398273816428614214292235
