period,홍대,연남,이태원,종로,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
2018-07-22,19487.8014,10140.9347,11589.39988,11115.29931,3196.216546,5570.275807,4337.020053,3089.450606,9596.893176,3623.928321,2749.389644,1387.378654,4002.012162,8341.591805,7867.179045,15687.54112
2018-07-23,18484.28098,8858.344186,8902.729774,10657.31146,3810.032407,4399.0509,3207.425152,2970.785795,8980.586739,2902.034688,2297.919799,1279.217178,3624.483134,6684.871628,6568.779712,17427.70136
2018-07-24,19042.02665,8146.825999,10957.04927,10789.20322,4148.724954,5081.148124,3745.2783,3446.486417,9605.210015,2886.542904,2219.899969,1374.898424,3911.529314,7537.046523,7215.386205,17970.84514
2018-07-25,18511.23624,8132.368337,10024.69688,11378.04474,4178.946091,4995.498187,3789.84042,3231.016505,9880.623275,3612.569565,2323.925118,1452.899377,3804.406707,7924.308319,7676.20612,18879.57634
2018-07-26,19688.92274,8692.08107,10892.4683,10784.01279,4355.066215,4872.701398,3916.271725,3463.140778,10081.20929,3140.601199,2531.976708,1442.49925,3765.925579,8131.394965,7737.441897,19588.80046
2018-07-27,23303.88361,9420.122299,12539.47152,12962.82982,4251.896197,5267.923173,4068.612178,3605.74652,11277.43903,3320.2998,2445.635537,1434.179226,4319.218691,10795.61065,8327.99896,23457.67339
2018-07-28,25253.9072,12384.95175,14024.98462,13497.67128,4077.859487,6034.637582,4538.06661,3838.913704,11916.6107,3693.12336,2617.276582,1428.979163,4455.463124,10491.18981,12878.09297,20315.78152
2018-07-29,22461.04407,10488.94861,12133.192,12511.07441,3292.092778,5896.35959,4570.193416,3373.622248,10647.62442,3945.116228,2863.817438,1319.777441,4059.213693,10438.37954,8419.332814,18891.06536
2018-07-30,22599.9627,9860.045641,12247.7827,13359.5471,4290.454664,5815.871394,4002.287136,3253.91606,10735.9647,3833.578865,2802.442871,1394.658821,4028.013021,8120.007428,7830.851074,18509.81464
2018-07-31,22518.06134,9189.835061,11723.78334,12364.64161,4321.71812,5798.328709,4255.150868,3499.57363,10771.30276,3545.439952,2545.499371,1422.738854,4322.339658,8641.871718,7984.460328,19103.10177
2018-08-01,22786.57083,8609.468525,11416.46766,12506.91815,4161.230337,5458.827213,4208.516196,3448.567637,10637.23201,3819.118706,2549.660686,1483.059901,4055.052404,8792.016175,8068.528587,19948.11346
2018-08-02,22660.09426,9162.985116,12239.43203,12431.10654,4256.06425,5228.71082,4322.511065,3525.595781,10694.39509,4014.309091,2389.461001,1532.980433,4340.019739,8907.984517,8539.729044,19849.92691
2018-08-03,23325.65343,12522.29954,13268.67474,12702.16057,4445.732076,8209.912495,4410.599029,3680.693444,11157.92154,3960.605836,2675.53113,1642.182155,4824.671373,9614.160379,10631.07068,21584.86604
2018-08-04,25307.81017,12233.14896,15788.6709,12937.90793,4231.053485,7298.731629,4861.400489,3913.859093,12330.2507,4056.653591,2882.541423,1498.660091,4570.90471,11606.37181,10823.07931,21604.71012
2018-08-05,21155.84542,10815.27604,12170.68516,11440.35732,3541.161784,8753.731726,4503.868374,3289.307534,9747.59274,3477.278714,2413.387598,1379.058243,4197.536971,9791.225335,8069.564288,18958.95914
2018-08-06,20403.20699,9662.804488,10228.88282,11165.15094,4000.742553,4953.189594,3642.682469,3287.224781,9522.06593,3029.063835,2258.389235,1512.180179,3782.567137,7709.966056,7627.426208,19164.72764
2018-08-07,20978.57261,9952.987756,10654.95511,12062.43325,4503.049841,5331.903442,3948.39853,3355.92651,13740.58435,3418.410805,2616.236575,1553.780687,4192.335359,8817.901444,8217.983271,20436.94612
2018-08-08,20203.12123,9531.652837,11842.53994,11746.72194,4258.148888,5033.679799,3998.142032,3624.483635,10638.27222,3330.62693,2771.234939,1563.140957,4355.619175,9047.772167,8520.007585,20025.40263
2018-08-09,20959.90953,9720.632469,13187.43014,12316.87007,4274.822323,5297.848812,3948.39853,3550.578088,10555.12814,3414.279953,2846.133459,1512.180179,4477.302694,11002.7018,8172.314382,20157.01592
2018-08-10,24726.22353,11118.88428,14028.11376,13116.53314,4800.056963,6000.582952,4419.926636,3819.135212,11854.25142,4062.84987,2947.037299,1550.660727,4721.708256,10876.37665,8890.53327,22668.02615
2018-08-11,26375.61202,12977.71323,16129.31384,14079.24228,4167.483028,6936.529726,4926.689255,3930.513454,12880.04186,4759.958389,3676.254643,1596.421441,4862.112179,11980.16661,10441.13738,21899.26329
2018-08-12,21361.10907,11221.1206,12653.0066,12259.75184,3673.513069,6255.467262,4684.189406,3189.378303,11340.83852,4150.633744,3233.107428,1544.420805,4246.417724,10115.32005,8317.618419,16957.67246
2018-08-13,21229.4546,9633.889163,11083.10092,12532.88205,4356.108535,4899.530797,3909.017791,3327.821606,10524.98628,3524.785691,2772.274945,1493.460028,4187.135547,8864.495827,8055.033099,19807.09829
2018-08-14,22590.63494,10534.38698,13417.64829,13292.04409,4884.468907,5935.571942,4525.631296,3845.158897,11026.97143,4025.670023,3495.25096,1704.582917,4505.384199,10563.66946,8354.98209,21854.34754
2018-08-15,22081.61435,11599.08254,13602.04147,14212.17213,3805.86313,7104.731349,5202.351063,3635.934179,10848.21043,4737.236525,4078.833868,1593.30148,4340.019739,12281.48625,8370.552901,17272.06971
2018-08-16,18612.82871,9235.273428,12310.27129,11697.91231,4176.862677,4749.9026,3890.363698,3352.803914,9574.027945,3509.293907,2957.439943,1431.059265,3688.965122,9365.655503,6708.897401,17235.50902
2018-08-17,21516.61962,12852.75772,15538.64114,13669.02598,5345.091996,6013.998656,4498.686993,3772.294727,11149.60956,4068.012347,3666.893296,1595.381195,4710.26831,10731.41284,7417.771448,19749.65321
2018-08-18,24890.02626,14153.93666,16802.28675,15276.65679,6262.16767,7697.051654,5232.405316,3679.652067,12264.77564,5624.372952,4673.858137,1788.823791,4471.06256,12236.96233,8546.994638,19622.2207
2018-08-19,19155.02559,13868.91684,12690.51861,12895.32682,4956.376694,7077.90195,5086.283641,3083.205413,10130.05553,5005.752802,3854.138307,1487.219719,4066.49415,10236.46905,6866.653379,14479.04215
2018-08-20,16457.54147,9309.62712,11332.07507,11427.89637,5033.494853,4784.987971,3614.70189,2971.827171,8789.357776,3285.185379,2572.545987,1350.97821,3467.439452,8384.045265,6134.942927,15828.54979
2018-08-21,18712.35758,8935.795949,11757.11059,11466.32122,5249.215763,4775.701258,3780.513934,3140.455065,8982.667164,3592.946929,2904.386717,1393.618575,3707.685525,8608.739835,6297.893098,15953.89516
2018-08-22,16992.47419,7865.936943,10499.72327,10507.76441,4924.070919,4750.93535,3687.244589,3228.933752,8675.036482,3276.923675,2746.268335,1470.579671,3727.44625,8514.511337,6057.104561,15303.16295
2018-08-23,12904.7833,5941.018486,8413.113284,7748.410551,3647.459985,3270.136596,2818.803629,2521.108856,6620.339817,2412.509111,1998.325716,1140.895178,2826.784459,6646.559091,4914.389806,11901.17846
2018-08-24,18414.82166,9561.600852,13054.08345,11574.32524,5052.252927,5033.679799,4090.3751,3299.716701,8845.48064,3529.948168,5506.060623,1506.980115,3891.768588,9448.491962,6682.949972,16994.22665
2018-08-25,23982.91286,14086.8118,17561.70692,16089.8228,5442.009323,7866.286027,5104.936613,3714.002165,11487.3821,6128.354335,5085.798709,1572.500838,4223.536031,12170.68956,8922.70667,19638.93731
2018-08-26,17930.68517,10790.49147,12177.98021,12646.08042,4078.901806,6166.721085,4335.983777,2918.739959,8760.256131,4562.702577,3808.367705,1306.257353,3670.244719,9567.565996,6700.592184,13504.5108
2018-08-27,14851.70016,7432.209742,9261.091948,10011.35172,4282.117334,3923.338921,3334.893855,2593.973026,6971.620535,2811.151587,2414.427605,1102.41463,3310.395771,6784.276279,5529.858598,12855.86573
2018-08-28,14150.89354,6606.065616,8988.159124,9284.38601,4459.279778,3807.765354,3269.605089,2690.778126,7257.43106,2928.887404,2288.557161,1155.455511,3334.315986,7558.790869,5308.787597,13229.8017
2018-08-29,13629.43845,6673.187808,8597.506466,8776.546534,4182.073049,3980.093959,3183.589678,2699.106074,6684.77466,2590.144463,2097.150834,1135.695114,3089.910424,7390.012259,5390.780533,12099.63871
2018-08-30,16738.48546,8642.51461,10646.6233,10960.56183,4451.984767,5000.657919,3665.481667,3041.568744,8049.377855,3701.385065,2647.444507,1367.618258,3482.000366,8102.404005,6677.759701,15406.5641
2018-08-31,19492.98685,10709.94164,12604.05249,12871.443,5080.39065,5778.722532,4246.859537,3189.378303,9832.812389,4302.448005,3269.516682,1516.340385,3862.648561,9383.258925,7577.606672,18666.49311
2018-09-01,21980.02188,12270.32581,14494.80834,14694.0477,4916.775908,6994.317514,4652.062601,3188.33846,10737.00491,5496.310004,3804.20639,1475.779734,3814.808131,10303.77255,7610.819696,16597.31264
2018-09-02,17397.8236,11011.4845,11340.40688,12598.30888,4009.078658,6789.99777,4248.932089,2796.952551,8258.275848,5134.847375,3354.816557,1301.05729,3757.6066,9040.521051,6470.180264,12745.14983
2018-09-03,12655.98002,6297.293925,7967.248233,8572.999427,3659.965368,3549.786813,2853.002987,2464.899047,6258.661835,2724.401513,2087.788196,986.9729875,2934.947388,6465.353212,5137.536131,12622.93842
2018-09-04,14628.809,7881.427296,9369.443206,10444.41375,4693.759987,4632.263533,3224.006693,2897.921625,7406.050199,3600.177009,2824.288165,1432.099123,3423.758512,7400.369067,5906.610254,13935.89187
2018-09-05,15173.07705,7875.231155,10326.79104,10759.08698,4693.759987,4702.434275,3292.404287,2980.153585,7651.321602,3947.181654,2896.065376,1282.337138,3576.642704,7912.916281,5776.873106,14272.22683
2018-09-06,15989.98934,8010.510898,10353.87886,10936.6741,4772.961559,4744.742868,3257.169775,3072.796246,7865.420657,3963.705063,2753.55096,1411.298869,3653.603161,8214.231424,6106.920174,14686.89778
2018-09-07,19576.95937,10035.6003,13448.90201,12833.01424,5166.887233,5910.806034,3954.616188,3275.77577,9142.718919,5086.306597,3321.528612,1433.138981,4006.171651,9194.806432,7318.1363,18081.56754
2018-09-08,24087.61962,13946.3686,17091.88319,16234.1755,4923.028599,8337.871025,4952.597281,3395.480425,11524.79572,7333.577266,4619.764904,1420.659138,4523.06428,12010.1973,8139.105282,18306.13328
2018-09-09,17218.47964,10879.30283,12134.22877,12608.69366,3855.885885,7116.083562,4092.447653,2685.572776,8392.346596,5970.343796,3910.312842,1269.856908,3859.529394,9390.50554,6612.373277,12866.30792
2018-09-10,13227.19577,7295.897309,11053.93958,10100.66236,4153.935326,4362.934789,3087.211504,2550.253604,7142.064693,3762.3184,2647.444507,1093.054749,3136.712332,6871.253661,5782.063377,11828.06357
2018-09-11,14303.2898,6965.439125,10911.22431,10623.03896,4327.970812,4376.350492,3296.549392,2825.057455,7487.113858,3856.298552,2794.120239,1278.176933,3293.756013,7304.070108,5669.972364,12550.87035
2018-09-12,14324.02404,7699.673827,10237.21464,11417.51159,4825.067728,4860.318444,3277.895299,2945.803487,7624.300382,3985.393126,2759.792288,1313.53752,3495.520957,8525.903376,6063.330532,13451.24
2018-09-13,17372.94705,8085.89728,10333.04933,10834.89859,6121.479055,4569.318023,3542.159191,2915.617362,8627.225596,3921.36274,2809.724205,1381.138345,3478.879399,8487.590839,6449.423105,16375.87435
2018-09-14,18563.06805,9273.482964,13575.99042,11847.45936,5743.185722,5414.455129,3582.575084,3181.05189,9321.479915,4731.040246,3112.438307,1512.180179,3799.206895,9367.725964,6861.467032,18278.98097
2018-09-15,23196.06256,12042.10128,15998.05952,14160.24824,5531.632864,6858.105021,4380.545897,3555.783439,11247.30203,5771.022559,3989.371388,1505.940258,4147.615896,11659.17758,8244.966401,18223.61652
2018-09-16,17166.64027,9772.266977,11264.36496,11613.7921,4219.589197,5797.295959,3791.912972,2705.351267,8227.093779,5403.363652,3498.372269,1296.897471,3250.075073,8960.794785,6222.126133,12581.15663
2018-09-17,13098.64804,6882.823911,8290.19078,9107.836971,4255.02193,4144.1686,2743.152101,2475.308214,7210.660386,4262.171107,2848.213472,1052.494098,2895.425937,6099.840262,4934.111265,12120.52961
2018-09-18,13434.53814,6734.116528,8322.481265,9018.522408,4336.308142,4313.402973,2879.94729,2709.515241,7177.402752,3745.794991,2583.988637,1306.257353,2932.866743,6906.456005,5146.877049,12591.60533
2018-09-19,12981.49922,6936.5238,8400.615566,9425.624457,4316.507748,3796.413141,2832.276341,2638.732291,7176.362539,4378.870947,2878.381397,1276.097217,3235.514159,7142.542614,5295.296032,12478.79579
2018-09-20,13212.68256,6672.155118,8802.729178,8903.247861,3899.654724,3841.817975,2640.556271,2349.356833,7093.218455,3884.182893,2417.548914,1161.695432,2909.986851,6920.953736,5281.800544,12500.73351
2018-09-21,18036.42751,8363.688266,10664.32368,10157.78451,4364.445865,4362.934789,3043.686782,2324.374525,8345.575922,4388.166453,2890.864054,1220.976234,3201.19252,8058.915314,5759.230894,14097.79143
2018-09-22,17913.06523,10224.5826,12747.80453,12230.67369,4310.255057,5850.956765,3560.812162,2305.637411,8429.760218,7054.733859,3955.043437,1034.813805,2900.625749,9191.696238,5901.419984,12776.48292
2018-09-23,13418.98935,7619.126662,10370.56133,9630.213567,2640.76077,3969.774496,3009.487424,1461.451966,5776.426146,6559.01418,3415.151117,815.3708912,2211.090004,6597.894247,4065.398071,8637.075175
2018-09-24,12828.06738,7178.17063,10759.12161,11230.57778,2437.545242,3513.668692,2452.981304,1261.595038,5279.642065,8423.131982,3151.967579,839.2911059,1993.725624,6447.75429,3171.77707,8057.370703
2018-09-25,19938.76916,12540.88796,15776.15434,16969.44981,4510.344852,7137.753229,3892.436251,2026.671119,8210.464962,11438.77164,5509.181933,1216.816416,3488.2405,10142.24055,5500.796222,12223.93727
2018-09-26,17648.7056,10559.17155,12071.72133,14118.70522,4110.165262,6408.18969,3903.83641,2097.454069,8168.89535,8673.059424,4747.716651,1095.134464,3224.074213,8883.13448,5537.124193,12198.86559
2018-09-27,14964.6991,7827.727407,9291.308904,10555.53595,4174.778039,4317.529955,3063.37603,2489.879821,7354.083323,5393.034345,3460.923009,991.1331934,2957.827281,7020.358387,5290.105762,12854.81891
2018-09-28,17821.8361,9894.124416,11988.38435,12793.5513,5178.350296,5484.62587,3649.936402,2910.412012,8720.762083,5827.825042,3769.878439,1275.056972,3514.24136,9130.608626,6137.022173,15775.27898
2018-09-29,21685.60025,13253.43884,15974.10085,16428.37984,5451.388972,7721.817562,4379.509621,3245.588112,10996.82957,8369.428726,4842.379163,1475.779734,4005.131329,11962.56769,7576.570972,17355.62679
2018-09-30,15333.76549,9834.228387,11310.20878,12054.12465,3625.574953,6088.29638,3615.738166,2392.033344,7995.330555,5482.883646,3618.001385,1135.695114,3371.756793,8474.13284,5483.15401,11734.05779
2018-10-01,13295.61951,7311.387661,8873.568432,9525.323797,3934.045138,3998.669394,2797.040707,2351.438053,6888.476451,3828.414212,2518.452754,1034.813805,2841.345373,6501.595288,4819.941006,12116.34883
2018-10-02,17114.80845,9013.245042,11520.63416,12393.71977,4873.005844,5251.413237,3273.750194,2966.621821,9025.276988,5355.856675,3274.718004,1341.61794,3652.562838,8135.535888,5850.564748,15972.69242
2018-10-03,19805.02842,12217.65861,12731.1409,14613.04174,4667.705678,7670.222256,4112.138022,3192.502434,10273.47847,7870.60982,4396.110639,1281.297281,3737.845874,10244.7509,6594.727142,13935.89187
2018-10-04,14335.42296,7215.347476,8886.06615,9551.287698,3952.804437,4094.636784,2729.679389,2952.04868,7382.144756,4135.14196,2541.338055,1097.214567,2889.185803,6934.416236,5011.953554,13393.78841
2018-10-05,16070.85513,9835.261077,9551.74401,10699.89257,4171.65108,4035.818256,3153.536546,2708.473864,7666.915067,4052.522739,2295.838496,1389.45837,3369.677948,8075.483506,5757.155571,15910.01973
2018-10-06,21067.73058,10276.21711,13543.69994,12521.45919,4207.083814,5736.413939,3993.996927,2905.208195,9431.64522,5370.314658,3145.726251,1384.258306,3782.567137,10120.49621,6642.471354,15939.27219
2018-10-07,19307.4143,11264.49359,13522.87041,15094.91732,4290.454664,7238.880351,4122.500784,2590.850429,9236.255406,7813.807337,4141.248442,1359.298234,3558.960823,9732.203683,6318.650257,13278.89173
2018-10-08,19247.2903,10713.03971,13420.77743,14658.73711,5108.527148,5521.774732,3885.182317,2652.264055,8605.400578,6957.656655,3816.689046,1394.658821,3848.087648,9185.484854,6583.3109,15750.21381
2018-10-09,18350.54779,11619.73634,12897.81485,14185.17014,4360.277812,7023.210403,4408.526476,2757.397103,8954.605732,7930.509354,4283.762858,1315.617623,3504.880259,10109.10867,6374.695764,13142.06384
